Season,Team,Player,Salary
1994-95,Dallas Mavericks,Jamal Mashburn,2633300
1994-95,Dallas Mavericks,Doug Smith,1950000
1994-95,Dallas Mavericks,Terry Davis,1560000
1994-95,Dallas Mavericks,Donald Hodge,1005000
1994-95,Dallas Mavericks,Popeye Jones,769000
1994-95,Dallas Mavericks,Tony Dumas,700000
1994-95,Dallas Mavericks,Lucious Harris,455000
1994-95,Dallas Mavericks,Morlon Wiley,310000
1994-95,Dallas Mavericks,Lorenzo Williams,200000
1994-95,Denver Nuggets,Dikembe Mutombo,3100000
1994-95,Denver Nuggets,LaPhonso Ellis,2731000
1994-95,Denver Nuggets,Mahmoud Abdul-Rauf,2200000
1994-95,Denver Nuggets,Alvin Robertson,2015000
1994-95,Denver Nuggets,Bison Dele,2000000
1994-95,Denver Nuggets,Reggie Williams,1567500
1994-95,Denver Nuggets,Rodney Rogers,1560000
1994-95,Denver Nuggets,Bryant Stith,1375000
1994-95,Denver Nuggets,Robert Pack,1059500
1994-95,Denver Nuggets,Dale Ellis,1007500
1994-95,Denver Nuggets,Jalen Rose,975000
1994-95,Denver Nuggets,Tom Hammonds,700000
1994-95,Denver Nuggets,Cliff Levingston,650000
1994-95,Denver Nuggets,Kevin Brooks,600000
1994-95,Denver Nuggets,Darnell Mee,250000
1994-95,Denver Nuggets,Reggie Slater,150000
1994-95,Detroit Pistons,Grant Hill,2750000
1994-95,Detroit Pistons,Terry Mills,1897000
1994-95,Detroit Pistons,Mark Macon,1767000
1994-95,Detroit Pistons,Mark Aguirre,1540600
1994-95,Detroit Pistons,Oliver Miller,1540000
1994-95,Detroit Pistons,Mark West,1500000
1994-95,Detroit Pistons,Lindsey Hunter,1173000
1994-95,Detroit Pistons,Joe Dumars,1096700
1994-95,Detroit Pistons,Allan Houston,956000
1994-95,Detroit Pistons,Bill Curley,702000
1994-95,Detroit Pistons,Greg Anderson,400000
1994-95,Detroit Pistons,Eric Leckner,350000
1994-95,Detroit Pistons,Rafael Addison,250000
1994-95,Detroit Pistons,Ivano Newbill,150000
1994-95,Detroit Pistons,Johnny Dawkins,150000
1994-95,Detroit Pistons,Walter Bond,117000
1994-95,Golden State Warriors,Tim Hardaway,3703000
1994-95,Golden State Warriors,Rony Seikaly,3297000
1994-95,Golden State Warriors,Chris Mullin,2844000
1994-95,Golden State Warriors,Ricky Pierce,2500000
1994-95,Golden State Warriors,Tom Gugliotta,1625000
1994-95,Golden State Warriors,Victor Alexander,1377500
1994-95,Golden State Warriors,Chris Gatling,1330000
1994-95,Golden State Warriors,Latrell Sprewell,890000
1994-95,Golden State Warriors,Carlos Rogers,715000
1994-95,Golden State Warriors,Clifford Rozier,650000
1994-95,Golden State Warriors,Keith Jennings,350000
1994-95,Golden State Warriors,Manute Bol,200000
1994-95,Golden State Warriors,David Wood,150000
1994-95,Golden State Warriors,Dwayne Morton,150000
1994-95,Golden State Warriors,Rod Higgins,15800
1994-95,Houston Rockets,Hakeem Olajuwon,3169900
1994-95,Houston Rockets,Kenny Smith,2633000
1994-95,Houston Rockets,Otis Thorpe,2578400
1994-95,Houston Rockets,Vernon Maxwell,1833000
1994-95,Houston Rockets,Robert Horry,1499000
1994-95,Houston Rockets,Mario Elie,1450000
1994-95,Houston Rockets,Carl Herrera,1350000
1994-95,Houston Rockets,Sam Cassell,845000
1994-95,Houston Rockets,Scott Brooks,550000
1994-95,Houston Rockets,Jan Tabak,500000
1994-95,Houston Rockets,Eric Riley,305000
1994-95,Houston Rockets,Chris Jent,250000
1994-95,Houston Rockets,Adrian Caldwell,150000
1994-95,Houston Rockets,Tim Breaux,150000
1994-95,Houston Rockets,Pete Chilcutt,126300
1994-95,Houston Rockets,Dave Jamerson,104000
1994-95,Houston Rockets,Richard Petruska,55000
1994-95,Houston Rockets,Larry Robinson,30000
1994-95,Indiana Pacers,Dale Davis,4050000
1994-95,Indiana Pacers,Rik Smits,3250000
1994-95,Indiana Pacers,Reggie Miller,3210500
1994-95,Indiana Pacers,Derrick McKey,2600000
1994-95,Indiana Pacers,Mark Jackson,2300000
1994-95,Indiana Pacers,LaSalle Thompson,2000000
1994-95,Indiana Pacers,Vern Fleming,1760000
1994-95,Indiana Pacers,Byron Scott,1550000
1994-95,Indiana Pacers,Scott Haskin,1073000
1994-95,Indiana Pacers,Sam Mitchell,850000
1994-95,Indiana Pacers,Antonio Davis,700000
1994-95,Indiana Pacers,Duane Ferrell,650000
1994-95,Indiana Pacers,Haywoode Workman,400000
1994-95,Indiana Pacers,John Williams,375000
1994-95,Indiana Pacers,Damon Bailey,150000
1994-95,Los Angeles Clippers,Stanley Roberts,3496000
1994-95,Los Angeles Clippers,Loy Vaught,2750000
1994-95,Los Angeles Clippers,Pooh Richardson,2120700
1994-95,Los Angeles Clippers,Lamond Murray,2000000
1994-95,Los Angeles Clippers,Terry Dehere,1365000
1994-95,Los Angeles Clippers,Malik Sealy,1260000
1994-95,Los Angeles Clippers,Gary Grant,1100000
1994-95,Los Angeles Clippers,Eric Piatkowski,962500
1994-95,Los Angeles Clippers,Randy Woods,800000
1994-95,Los Angeles Clippers,Elmore Spencer,700000
1994-95,Los Angeles Clippers,Tony Massenburg,422500
1994-95,Los Angeles Clippers,Bob Martin,250000
1994-95,Los Angeles Clippers,Bo Outlaw,250000
1994-95,Los Angeles Clippers,Harold Ellis,250000
1994-95,Los Angeles Clippers,Matt Fish,150000
1994-95,Los Angeles Lakers,Magic Johnson,14660000
1994-95,Los Angeles Lakers,James Worthy,7250000
1994-95,Los Angeles Lakers,Vlade Divac,3333300
1994-95,Los Angeles Lakers,Sam Bowie,3200000
1994-95,Los Angeles Lakers,Sedale Threatt,2400000
1994-95,Los Angeles Lakers,Elden Campbell,2100000
1994-95,Los Angeles Lakers,Nick Van Exel,1900000
1994-95,Los Angeles Lakers,Cedric Ceballos,1750000
1994-95,Los Angeles Lakers,George Lynch,1430000
1994-95,Los Angeles Lakers,Eddie Jones,1300000
1994-95,Los Angeles Lakers,Anthony Peeler,1120000
1994-95,Los Angeles Lakers,Tony Smith,1050000
1994-95,Los Angeles Lakers,Antonio Harvey,325000
1994-95,Los Angeles Lakers,Anthony Miller,150000
1994-95,Los Angeles Lakers,Trevor Ruffin,100000
1994-95,Miami Heat,Kevin Willis,2975000
1994-95,Miami Heat,Billy Owens,2867000
1994-95,Miami Heat,John Salley,2652000
1994-95,Miami Heat,Glen Rice,2600000
1994-95,Miami Heat,Harold Miner,1459000
1994-95,Miami Heat,Alec Kessler,1402000
1994-95,Miami Heat,Matt Geiger,1402000
1994-95,Miami Heat,Khalid Reeves,1300000
1994-95,Miami Heat,Willie Burton,1052000
1994-95,Miami Heat,Bimbo Coles,902000
1994-95,Miami Heat,Kevin Gamble,650000
1994-95,Miami Heat,Keith Askins,406000
1994-95,Miami Heat,Brad Lohaus,325000
1994-95,Miami Heat,Ledell Eackles,150000
1994-95,Milwaukee Bucks,Glenn Robinson,2900000
1994-95,Milwaukee Bucks,Orlando Woolridge,2367000
1994-95,Milwaukee Bucks,Todd Day,2120000
1994-95,Milwaukee Bucks,Ed Pinckney,1485000
1994-95,Milwaukee Bucks,Roy Hinson,1137500
1994-95,Milwaukee Bucks,Vin Baker,1065300
1994-95,Milwaukee Bucks,Eric Murdock,1000000
1994-95,Milwaukee Bucks,Mike Gminski,1000000
1994-95,Milwaukee Bucks,Lee Mayberry,820000
1994-95,Milwaukee Bucks,Jon Barry,800000
1994-95,Milwaukee Bucks,Eric Mobley,620000
1994-95,Milwaukee Bucks,Johnny Newman,300000
1994-95,Milwaukee Bucks,Marty Conlon,182500
1994-95,Milwaukee Bucks,Aaron Williams,150000
1994-95,Milwaukee Bucks,Alton Lister,150000
1994-95,Milwaukee Bucks,Danny Young,150000
1994-95,Milwaukee Bucks,Todd Mundt,9660
1994-95,Minnesota Timberwolves,Christian Laettner,3360000
1994-95,Minnesota Timberwolves,Isaiah Rider,2500000
1994-95,Minnesota Timberwolves,Micheal Williams,2175000
1994-95,Minnesota Timberwolves,Donyell Marshall,2100000
1994-95,Minnesota Timberwolves,Stacey King,1900000
1994-95,Minnesota Timberwolves,Mike Brown,1475000
1994-95,Minnesota Timberwolves,Doug West,1275000
1994-95,Minnesota Timberwolves,Charles Shackleford,650000
1994-95,Minnesota Timberwolves,Sean Rooks,600000
1994-95,Minnesota Timberwolves,Chris Smith,355000
1994-95,Minnesota Timberwolves,Marlon Maxey,275000
1994-95,Minnesota Timberwolves,Andres Guibert,175000
1994-95,Minnesota Timberwolves,Askia Jones,150000
1994-95,Minnesota Timberwolves,Howard Eisley,150000
1994-95,Minnesota Timberwolves,Melvin Robinson,150000
1994-95,Minnesota Timberwolves,Winston Garland,143860
1994-95,Minnesota Timberwolves,Pat Durham,126000
1994-95,Minnesota Timberwolves,Greg Foster,113400
1994-95,New Jersey Nets,Derrick Coleman,4212000
1994-95,New Jersey Nets,Benoit Benjamin,3774600
1994-95,New Jersey Nets,Kenny Anderson,3463200
1994-95,New Jersey Nets,Chris Morris,2060000
1994-95,New Jersey Nets,Armen Gilliam,1560000
1994-95,New Jersey Nets,Kevin Edwards,1560000
1994-95,New Jersey Nets,Dwayne Schintzius,1197000
1994-95,New Jersey Nets,Jayson Williams,1100000
1994-95,New Jersey Nets,Yinka Dare,920000
1994-95,New Jersey Nets,Rex Walters,845000
1994-95,New Jersey Nets,Rick Mahorn,800000
1994-95,New Jersey Nets,P.J. Brown,780000
1994-95,New Jersey Nets,Sean Higgins,500000
1994-95,New Jersey Nets,Chris Childs,150000
1994-95,New Jersey Nets,Sleepy Floyd,150000
1994-95,New Jersey Nets,Ryan Lorthridge,50000
1994-95,New York Knicks,Patrick Ewing,4486700
1994-95,New York Knicks,Charles Smith,2857000
1994-95,New York Knicks,Derek Harper,2382700
1994-95,New York Knicks,Charles Oakley,2200000
1994-95,New York Knicks,Greg Anthony,1471000
1994-95,New York Knicks,Bo Kimble,1435000
1994-95,New York Knicks,Doc Rivers,1405000
1994-95,New York Knicks,John Starks,1362500
1994-95,New York Knicks,Rolando Blackman,1340000
1994-95,New York Knicks,Doug Christie,1244000
1994-95,New York Knicks,Anthony Mason,1200000
1994-95,New York Knicks,Herb Williams,1000000
1994-95,New York Knicks,Hubert Davis,940000
1994-95,New York Knicks,Anthony Bonner,845000
1994-95,New York Knicks,Monty Williams,650000
1994-95,New York Knicks,Charlie Ward,555000
1994-95,New York Knicks,Tim McCormick,225000
1994-95,New York Knicks,Ron Grandison,150000
1994-95,Orlando Magic,Shaquille O'Neal,4800000
1994-95,Orlando Magic,Anfernee Hardaway,4305000
1994-95,Orlando Magic,Dennis Scott,3240000
1994-95,Orlando Magic,Nick Anderson,3090000
1994-95,Orlando Magic,Horace Grant,2125000
1994-95,Orlando Magic,Terry Catledge,1685700
1994-95,Orlando Magic,Jerry Reynolds,1667500
1994-95,Orlando Magic,Greg Kite,1195000
1994-95,Orlando Magic,Jeff Turner,1100000
1994-95,Orlando Magic,Donald Royal,1000000
1994-95,Orlando Magic,Anthony Bowie,900000
1994-95,Orlando Magic,Anthony Avent,800000
1994-95,Orlando Magic,Tree Rollins,735000
1994-95,Orlando Magic,Brian Shaw,692900
1994-95,Orlando Magic,Brooks Thompson,650000
1994-95,Orlando Magic,Geert Hammink,250000
1994-95,Orlando Magic,Larry Krystkowiak,210000
1994-95,Orlando Magic,Todd Lichti,200000
1994-95,Orlando Magic,Greg Grant,150000
1994-95,Orlando Magic,Rodney Dent,150000
1994-95,Orlando Magic,Mike Iuzzolino,97500
1994-95,Orlando Magic,Keith Tower,26316
1994-95,Philadelphia 76ers,Clarence Weatherspoon,4000000
1994-95,Philadelphia 76ers,Shawn Bradley,3510000
1994-95,Philadelphia 76ers,Sharone Wright,2020000
1994-95,Philadelphia 76ers,Jeff Malone,1930000
1994-95,Philadelphia 76ers,Tim Perry,1750000
1994-95,Philadelphia 76ers,Johnny Dawkins,1680000
1994-95,Philadelphia 76ers,Scott Williams,1500000
1994-95,Philadelphia 76ers,Dana Barros,937500
1994-95,Philadelphia 76ers,Greg Graham,910000
1994-95,Philadelphia 76ers,B.J. Tyler,715000
1994-95,Philadelphia 76ers,Moses Malone,300000
1994-95,Philadelphia 76ers,Derrick Alston,150000
1994-95,Philadelphia 76ers,Willie Burton,150000
1994-95,Philadelphia 76ers,Jaren Jackson,140350
1994-95,Philadelphia 76ers,Lloyd Daniels,11400
1994-95,Philadelphia 76ers,Tate George,5260
1994-95,Phoenix Suns,A.C. Green,6472600
1994-95,Phoenix Suns,Charles Barkley,4030000
1994-95,Phoenix Suns,Dan Majerle,3000000
1994-95,Phoenix Suns,Kevin Johnson,2750000
1994-95,Phoenix Suns,Danny Ainge,2080000
1994-95,Phoenix Suns,Danny Manning,1000000
1994-95,Phoenix Suns,Wayman Tisdale,850000
1994-95,Phoenix Suns,Joe Kleine,845000
1994-95,Phoenix Suns,Danny Schayes,672000
1994-95,Phoenix Suns,Wesley Person,650000
1994-95,Phoenix Suns,Antonio Lang,325000
1994-95,Phoenix Suns,Elliot Perry,250000
1994-95,Phoenix Suns,Trevor Ruffin,143860
1994-95,Phoenix Suns,Aaron Swinson,102424
1994-95,Portland Trailblazers,Jerome Kersey,3608000
1994-95,Portland Trailblazers,Chris Dudley,3500000
1994-95,Portland Trailblazers,Buck Williams,3200000
1994-95,Portland Trailblazers,Harvey Grant,2990000
1994-95,Portland Trailblazers,Clifford Robinson,2732000
1994-95,Portland Trailblazers,Terry Porter,2600000
1994-95,Portland Trailblazers,Rod Strickland,1920000
1994-95,Portland Trailblazers,Clyde Drexler,1578000
1994-95,Portland Trailblazers,Mark Bryant,1400000
1994-95,Portland Trailblazers,Tracy Murray,1160000
1994-95,Portland Trailblazers,James Robinson,845000
1994-95,Portland Trailblazers,Aaron McKie,650000
1994-95,Portland Trailblazers,James Edwards,325000
1994-95,Portland Trailblazers,Negele Knight,150000
1994-95,Sacramento Kings,Mitch Richmond,3000000
1994-95,Sacramento Kings,Frank Brickowski,2233000
1994-95,Sacramento Kings,Lionel Simmons,2181400
1994-95,Sacramento Kings,Bobby Hurley,2100000
1994-95,Sacramento Kings,Spud Webb,2071600
1994-95,Sacramento Kings,Walt Williams,2040000
1994-95,Sacramento Kings,Olden Polynice,1900000
1994-95,Sacramento Kings,Duane Causwell,1545000
1994-95,Sacramento Kings,Brian Grant,808000
1994-95,Sacramento Kings,Randy Brown,700000
1994-95,Sacramento Kings,Alaa Abdelnaby,650000
1994-95,Sacramento Kings,Trevor Wilson,500000
1994-95,Sacramento Kings,Henry Turner,180000
1994-95,Sacramento Kings,Doug Lee,150000
1994-95,Sacramento Kings,Michael Smith,150000
1994-95,San Antonio Spurs,David Robinson,7300000
1994-95,San Antonio Spurs,Dennis Rodman,2500000
1994-95,San Antonio Spurs,Terry Cummings,2406600
1994-95,San Antonio Spurs,J.R. Reid,2215000
1994-95,San Antonio Spurs,Willie Anderson,2075000
1994-95,San Antonio Spurs,Vinny Del Negro,1471000
1994-95,San Antonio Spurs,Sean Elliott,1350000
1994-95,San Antonio Spurs,Chuck Person,1300000
1994-95,San Antonio Spurs,Avery Johnson,650000
1994-95,San Antonio Spurs,Moses Malone,468750
1994-95,San Antonio Spurs,Lloyd Daniels,250000
1994-95,San Antonio Spurs,Chris Whitney,182900
1994-95,San Antonio Spurs,Jack Haley,150000
1994-95,San Antonio Spurs,Julius Nwosu,150000
1994-95,San Antonio Spurs,Corey Crowder,142982
1994-95,San Antonio Spurs,Doc Rivers,109750
1994-95,Seattle SuperSonics,Detlef Schrempf,5000000
1994-95,Seattle SuperSonics,Sam Perkins,4126600
1994-95,Seattle SuperSonics,Kendall Gill,2600000
1994-95,Seattle SuperSonics,Gary Payton,2583300
1994-95,Seattle SuperSonics,Sarunas Marciulionis,2100000
1994-95,Seattle SuperSonics,Bill Cartwright,1502000
1994-95,Seattle SuperSonics,Vincent Askew,1460000
1994-95,Seattle SuperSonics,Nate McMillan,1060000
1994-95,Seattle SuperSonics,Shawn Kemp,1000000
1994-95,Seattle SuperSonics,Rich King,800000
1994-95,Seattle SuperSonics,Ervin Johnson,716600
1994-95,Seattle SuperSonics,Byron Houston,700000
1994-95,Seattle SuperSonics,Steve Scheffler,275000
1994-95,Seattle SuperSonics,Dontonio Wingfield,150000
1994-95,Utah Jazz,Karl Malone,3378800
1994-95,Utah Jazz,John Stockton,2600000
1994-95,Utah Jazz,Jeff Hornacek,2121400
1994-95,Utah Jazz,Jay Humphries,1900000
1994-95,Utah Jazz,Felton Spencer,1881250
1994-95,Utah Jazz,Tom Chambers,1700000
1994-95,Utah Jazz,Adam Keefe,1500000
1994-95,Utah Jazz,David Benoit,1000000
1994-95,Utah Jazz,Luther Wright,845000
1994-95,Utah Jazz,Antoine Carr,666600
1994-95,Utah Jazz,Tom Chambers,393000
1994-95,Utah Jazz,Bryon Russell,265000
1994-95,Utah Jazz,John Crotty,250000
1994-95,Utah Jazz,Jamie Watson,150000
1994-95,Utah Jazz,Walter Bond,57900
1994-95,Washington Bullets,Kevin Duckworth,2612500
1994-95,Washington Bullets,Calbert Cheaney,2400000
1994-95,Washington Bullets,Scott Skiles,2125000
1994-95,Washington Bullets,Chris Webber,2080000
1994-95,Washington Bullets,Rex Chapman,2004500
1994-95,Washington Bullets,Juwan Howard,1309000
1994-95,Washington Bullets,Gheorghe Muresan,1150000
1994-95,Washington Bullets,Don MacLean,740000
1994-95,Washington Bullets,Larry Stewart,700000
1994-95,Washington Bullets,Doug Overton,550000
1994-95,Washington Bullets,Mitchell Butler,400000
1994-95,Washington Bullets,Brent Price,328750
1994-95,Washington Bullets,Jim McIlvaine,200000
1994-95,Washington Bullets,Anthony Tucker,150000
1994-95,Washington Bullets,Brian Oliver,150000
1994-95,Washington Bullets,Kenny Walker,150000
1993-94,Atlanta Hawks,Dominique Wilkins,3500000
1993-94,Atlanta Hawks,Jon Koncak,2900000
1993-94,Atlanta Hawks,Kevin Willis,2625000
1993-94,Atlanta Hawks,Blair Rasmussen,2457000
1993-94,Atlanta Hawks,Mookie Blaylock,1630000
1993-94,Atlanta Hawks,Roy Hinson,1445000
1993-94,Atlanta Hawks,Stacey Augmon,1400000
1993-94,Atlanta Hawks,Andrew Lang,1228000
1993-94,Atlanta Hawks,Adam Keefe,1200000
1993-94,Atlanta Hawks,Craig Ehlo,1200000
1993-94,Atlanta Hawks,Duane Ferrell,1025000
1993-94,Atlanta Hawks,Doug Edwards,650000
1993-94,Atlanta Hawks,Paul Graham,600000
1993-94,Atlanta Hawks,Greg Foster,250000
1993-94,Atlanta Hawks,Steve Henson,250000
1993-94,Atlanta Hawks,Ennis Whatley,150000
1993-94,Boston Celtics,Robert Parish,4000000
1993-94,Boston Celtics,Sherman Douglas,2300000
1993-94,Boston Celtics,Xavier McDaniel,2145000
1993-94,Boston Celtics,Dino Radja,1650000
1993-94,Boston Celtics,Ed Pinckney,1470000
1993-94,Boston Celtics,Kevin Gamble,1100000
1993-94,Boston Celtics,Dee Brown,1025000
1993-94,Boston Celtics,Stojko Vrankovic,831000
1993-94,Boston Celtics,Alaa Abdelnaby,805000
1993-94,Boston Celtics,Rick Fox,755000
1993-94,Boston Celtics,Acie Earl,650000
1993-94,Boston Celtics,John Bagley,600000
1993-94,Boston Celtics,Lorenzo Williams,250000
1993-94,Boston Celtics,Chris Corchiani,150000
1993-94,Boston Celtics,Matt Wenstrom,150000
1993-94,Charlotte Hornets,Larry Johnson,3125000
1993-94,Charlotte Hornets,Alonzo Mourning,3120000
1993-94,Charlotte Hornets,Hersey Hawkins,2400000
1993-94,Charlotte Hornets,Mike Gminski,1850000
1993-94,Charlotte Hornets,Kenny Gattison,1250000
1993-94,Charlotte Hornets,Rumeal Robinson,1240000
1993-94,Charlotte Hornets,Eddie Johnson,1150000
1993-94,Charlotte Hornets,Dell Curry,1040000
1993-94,Charlotte Hornets,Muggsy Bogues,900000
1993-94,Charlotte Hornets,Scott Burrell,650000
1993-94,Charlotte Hornets,David Wingate,570000
1993-94,Charlotte Hornets,Kevin Lynch,325000
1993-94,Charlotte Hornets,Tony Bennett,182000
1993-94,Charlotte Hornets,LeRon Ellis,150000
1993-94,Chicago Bulls,Michael Jordan,4000000
1993-94,Chicago Bulls,Scottie Pippen,3075000
1993-94,Chicago Bulls,Bill Cartwright,2400000
1993-94,Chicago Bulls,Horace Grant,1950000
1993-94,Chicago Bulls,Stacey King,1600000
1993-94,Chicago Bulls,Will Perdue,1200000
1993-94,Chicago Bulls,Toni Kukoc,1025000
1993-94,Chicago Bulls,John Paxson,800000
1993-94,Chicago Bulls,Scott Williams,641000
1993-94,Chicago Bulls,B.J. Armstrong,620000
1993-94,Chicago Bulls,Corie Blount,620000
1993-94,Chicago Bulls,A.J. English,150000
1993-94,Chicago Bulls,Bill Wennington,150000
1993-94,Chicago Bulls,Pete Myers,150000
1993-94,Chicago Bulls,Steve Kerr,150000
1993-94,Cleveland Cavaliers,John Williams,3786000
1993-94,Cleveland Cavaliers,Danny Ferry,3543000
1993-94,Cleveland Cavaliers,Brad Daugherty,3541000
1993-94,Cleveland Cavaliers,Mark Price,2850000
1993-94,Cleveland Cavaliers,Larry Nance,2840000
1993-94,Cleveland Cavaliers,Gerald Wilkins,2278000
1993-94,Cleveland Cavaliers,John Battle,1120000
1993-94,Cleveland Cavaliers,Tyrone Hill,1075000
1993-94,Cleveland Cavaliers,Terrell Brandon,840000
1993-94,Cleveland Cavaliers,Chris Mills,650000
1993-94,Cleveland Cavaliers,Gerald Madkins,475000
1993-94,Cleveland Cavaliers,Bobby Phills,313000
1993-94,Cleveland Cavaliers,Jay Guidinger,250000
1993-94,Cleveland Cavaliers,Sedric Toney,150000
1993-94,Dallas Mavericks,Fat Lever,2203000
1993-94,Dallas Mavericks,Jamal Mashburn,2033000
1993-94,Dallas Mavericks,Jim Jackson,2000000
1993-94,Dallas Mavericks,Tony Campbell,1682000
1993-94,Dallas Mavericks,Doug Smith,1650000
1993-94,Dallas Mavericks,Terry Davis,1200000
1993-94,Dallas Mavericks,Randy White,922000
1993-94,Dallas Mavericks,Donald Hodge,845000
1993-94,Dallas Mavericks,Sean Rooks,488000
1993-94,Dallas Mavericks,Lucious Harris,350000
1993-94,Dallas Mavericks,Greg Dreiling,300000
1993-94,Dallas Mavericks,Popeye Jones,275000
1993-94,Dallas Mavericks,Tim Legler,250000
1993-94,Dallas Mavericks,Roy Tarpley,80000
1993-94,Dallas Mavericks,Darren Morningstar,43000
1993-94,Denver Nuggets,Dikembe Mutombo,3000000
1993-94,Denver Nuggets,LaPhonso Ellis,2350000
1993-94,Denver Nuggets,Mahmoud Abdul-Rauf,1825000
1993-94,Denver Nuggets,Alvin Robertson,1408000
1993-94,Denver Nuggets,Reggie Williams,1258000
1993-94,Denver Nuggets,Bison Dele,1244000
1993-94,Denver Nuggets,Mark Randall,1200000
1993-94,Denver Nuggets,Bryant Stith,1100000
1993-94,Denver Nuggets,Kevin Brooks,975000
1993-94,Denver Nuggets,Tom Hammonds,800000
1993-94,Denver Nuggets,Robert Pack,400000
1993-94,Denver Nuggets,Robert Werdann,250000
1993-94,Denver Nuggets,Darnell Mee,150000
1993-94,Denver Nuggets,Rodney Rogers,150000
1993-94,Detroit Pistons,Isiah Thomas,2520000
1993-94,Detroit Pistons,Sean Elliott,1807000
1993-94,Detroit Pistons,Terry Mills,1614000
1993-94,Detroit Pistons,Mark Macon,1498000
1993-94,Detroit Pistons,Mark Aguirre,1471000
1993-94,Detroit Pistons,Bill Laimbeer,1300000
1993-94,Detroit Pistons,Joe Dumars,1280000
1993-94,Detroit Pistons,Lindsey Hunter,902000
1993-94,Detroit Pistons,Olden Polynice,850000
1993-94,Detroit Pistons,Allan Houston,736000
1993-94,Detroit Pistons,Greg Anderson,650000
1993-94,Detroit Pistons,Marcus Liberty,650000
1993-94,Detroit Pistons,David Wood,488000
1993-94,Detroit Pistons,Tracy Moore,40000
1993-94,Detroit Pistons,Tod Murphy,20000
1993-94,Golden State Warriors,Tim Hardaway,3340000
1993-94,Golden State Warriors,Chris Mullin,2844000
1993-94,Golden State Warriors,Billy Owens,2414000
1993-94,Golden State Warriors,Sarunas Marciulionis,1900000
1993-94,Golden State Warriors,Chris Webber,1600000
1993-94,Golden State Warriors,Jim Petersen,1521000
1993-94,Golden State Warriors,Victor Alexander,1160000
1993-94,Golden State Warriors,Chris Gatling,1120000
1993-94,Golden State Warriors,Jeff Grayer,715000
1993-94,Golden State Warriors,Latrell Sprewell,700000
1993-94,Golden State Warriors,Byron Houston,600000
1993-94,Golden State Warriors,Jud Buechler,375000
1993-94,Golden State Warriors,Avery Johnson,300000
1993-94,Golden State Warriors,Andre Spencer,250000
1993-94,Golden State Warriors,Keith Jennings,250000
1993-94,Golden State Warriors,Josh Grant,150000
1993-94,Houston Rockets,Hakeem Olajuwon,3170000
1993-94,Houston Rockets,Otis Thorpe,2418000
1993-94,Houston Rockets,Kenny Smith,2150000
1993-94,Houston Rockets,Sleepy Floyd,1700000
1993-94,Houston Rockets,Vernon Maxwell,1424000
1993-94,Houston Rockets,Robert Horry,1200000
1993-94,Houston Rockets,Carl Herrera,1000000
1993-94,Houston Rockets,Mario Elie,790000
1993-94,Houston Rockets,Dave Jamerson,780000
1993-94,Houston Rockets,Matt Bullard,650000
1993-94,Houston Rockets,Sam Cassell,650000
1993-94,Houston Rockets,Scott Brooks,525000
1993-94,Houston Rockets,Eric Riley,150000
1993-94,Houston Rockets,Richard Petruska,150000
1993-94,Indiana Pacers,Reggie Miller,3011000
1993-94,Indiana Pacers,Rik Smits,2500000
1993-94,Indiana Pacers,LaSalle Thompson,2000000
1993-94,Indiana Pacers,Pooh Richardson,1694000
1993-94,Indiana Pacers,Vern Fleming,1560000
1993-94,Indiana Pacers,Derrick McKey,1262000
1993-94,Indiana Pacers,Malik Sealy,1023000
1993-94,Indiana Pacers,Scott Haskin,833000
1993-94,Indiana Pacers,Sam Mitchell,715000
1993-94,Indiana Pacers,Dale Davis,688000
1993-94,Indiana Pacers,Byron Scott,650000
1993-94,Indiana Pacers,Antonio Davis,565000
1993-94,Indiana Pacers,Kenny Williams,375000
1993-94,Indiana Pacers,Haywoode Workman,320000
1993-94,Los Angeles Clippers,Ron Harper,4000000
1993-94,Los Angeles Clippers,Danny Manning,3250000
1993-94,Los Angeles Clippers,Stanley Roberts,2841000
1993-94,Los Angeles Clippers,Mark Jackson,2000000
1993-94,Los Angeles Clippers,Ken Norman,1275000
1993-94,Los Angeles Clippers,Loy Vaught,1225000
1993-94,Los Angeles Clippers,Gary Grant,1128000
1993-94,Los Angeles Clippers,John Williams,1100000
1993-94,Los Angeles Clippers,Terry Dehere,1050000
1993-94,Los Angeles Clippers,Randy Woods,650000
1993-94,Los Angeles Clippers,Tom Tolbert,650000
1993-94,Los Angeles Clippers,Elmore Spencer,569000
1993-94,Los Angeles Clippers,Henry James,150000
1993-94,Los Angeles Clippers,Kiki Vandeweghe,150000
1993-94,Los Angeles Clippers,Mark Aguirre,150000
1993-94,Los Angeles Lakers,Vlade Divac,4133000
1993-94,Los Angeles Lakers,Sam Bowie,3200000
1993-94,Los Angeles Lakers,Magic Johnson,2500000
1993-94,Los Angeles Lakers,Sedale Threatt,2400000
1993-94,Los Angeles Lakers,James Worthy,1800000
1993-94,Los Angeles Lakers,Elden Campbell,1700000
1993-94,Los Angeles Lakers,Doug Christie,1445000
1993-94,Los Angeles Lakers,James Edwards,1300000
1993-94,Los Angeles Lakers,George Lynch,1100000
1993-94,Los Angeles Lakers,Nick Van Exel,1100000
1993-94,Los Angeles Lakers,Anthony Peeler,910000
1993-94,Los Angeles Lakers,Tony Smith,800000
1993-94,Los Angeles Lakers,Kurt Rambis,400000
1993-94,Los Angeles Lakers,Jack Haley,390000
